,O2,O2,O2,N2,N2,N2,CO2,CO2,H2O,H2O,CH4,CH4
A,31.32234,30.03235,20.91111,28.98641,19.50583,35.51872,24.99735,58.16639,30.092,41.96426,-0.703029,85.81217
B,-20.23531,8.772972,10.72071,1.853978,19.88705,1.128728,55.18696,2.720074,6.832514,8.622053,108.4773,11.26467
C,57.86644,-3.988133,-2.020498,-9.647459,-8.598535,-0.196103,-33.69137,-0.492289,6.793435,-1.49978,-42.52157,-2.114146
D,-36.50624,0.788313,0.146449,16.63537,1.369784,0.014662,7.948387,0.038844,-2.53448,0.098119,5.862788,0.13819
E,-0.007374,-0.741599,9.245722,0.000117,0.527601,-4.55376,-0.136638,-6.447293,0.082139,-11.15764,0.678565,-26.42221
F,-8.903471,-11.32468,5.337651,-8.671914,-4.935202,-18.97091,-403.6075,-425.9186,-250.881,-272.1797,-76.84376,-153.5327
G,246.7945,236.1663,237.6185,226.4168,212.39,224.981,228.2431,263.6125,223.3967,219.7809,158.7163,224.4143
H,0,0,0,0,0,0,-393.5224,-393.5224,-241.8264,-241.8264,-74.8731,-74.8731
Tmin,100,700,2000,1.00E+02,500,2000,298,1200,500,1700,298,1300
Tmax,700,2000,6000,5.00E+02,2000,6000,1200,6000,1700,6000,1300,6000